web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762516-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491"
"1752762516-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Bœufs","Diourbel, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085"
"1752762516-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Vaches","Diourbel, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629"
"1752762516-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chaton Persan","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403"
"1752762516-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309"
"1752762516-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Chat Siamois","Fann, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735"
"1752762516-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","30 000CFA","Dindon rouge","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125"
"1752762516-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","350 000CFA","Chat siamois","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906"
"1752762516-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","600 000CFA","Bœuf","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/buf-1606230"
"1752762516-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","750 000CFA","Boeufs","Tambacounda, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-1544433"
"1752762516-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Couple de chèvre","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/couple-de-chevre-1521675"
"1752762516-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","275 000CFA","Vaches","Rufisque, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1500655"
"1752762516-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","700 000CFA","Bœuf","Saint Louis, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773"
"1752762516-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Dindes - canards et colverts","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889"
"1752762516-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","4 000CFA","Biscuit en poudre pour betail","Patte d'oie, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836"
"1752762516-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Point E, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837"
