web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751708-1,""https://sn.coinafrique.com/categorie/chiens?page=10"",""400 000CFA"",""Chiots Rottweiler"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686"""
"1752751708-2,""https://sn.coinafrique.com/categorie/chiens?page=10"",""160 000CFA"",""Chiots Berger"",""Saint Louis, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897"""
"1752751708-3,""https://sn.coinafrique.com/categorie/chiens?page=10"",""170 000CFA"",""Chiot Berger blanc"",""Saint Louis, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259"""
"1752751708-4,""https://sn.coinafrique.com/categorie/chiens?page=10"",""150 000CFA"",""Chiots berger belge malinois"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294"""
"1752751708-5,""https://sn.coinafrique.com/categorie/chiens?page=10"",""175 000CFA"",""Chiots berger allemand"",""Guediawaye, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488"""
"1752751708-6,""https://sn.coinafrique.com/categorie/chiens?page=10"",""150 000CFA"",""Berger allemand pur sang"",""Point E, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470"""
"1752751708-7,""https://sn.coinafrique.com/categorie/chiens?page=10"",""150 000CFA"",""Berger allemand pure sang"",""Point E, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466"""
"1752751708-8,""https://sn.coinafrique.com/categorie/chiens?page=10"",""150 000CFA"",""Berger blanc suisse"",""Saint Louis, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811"""
"1752751708-9,""https://sn.coinafrique.com/categorie/chiens?page=10"",""65 000CFA"",""Chien"",""Gibraltar, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-2209275"""
"1752751708-10,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Bichons"",""Ngor, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bichons-2181152"""
"1752751708-11,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot chowchow"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097"""
"1752751708-12,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Chiot Yorkie_Chon"",""Yoff, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616"""
"1752751708-13,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Chiots Rottweiler"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223"""
"1752751708-14,""https://sn.coinafrique.com/categorie/chiens?page=10"",""290 000CFA"",""Chiots rockweile"",""Mermoz-Sacré-Cœur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461"""
"1752751708-15,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Chiots Yorkshire/caniche"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633"""
"1752751708-16,""https://sn.coinafrique.com/categorie/chiens?page=10"",""130 000CFA"",""Chiots Berger Amstaff"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208"""
"1752751708-17,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Berger malinois charboné"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869"""
"1752751708-18,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Chiot Can Corso"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566"""
"1752751708-19,""https://sn.coinafrique.com/categorie/chiens?page=10"",""250 000CFA"",""Chiot Berger Allemand"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558"""
"1752751708-20,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot Chowchow"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517"""
"1752751708-21,""https://sn.coinafrique.com/categorie/chiens?page=10"",""50 000CFA"",""Femelles  métisse rock / 4 chiennes"",""Mermoz-Sacré-Cœur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265"""
"1752751708-22,""https://sn.coinafrique.com/categorie/chiens?page=10"",""90 000CFA"",""CHiots Pitbull"",""Mermoz-Sacré-Cœur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031"""
"1752751708-23,""https://sn.coinafrique.com/categorie/chiens?page=10"",""400 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-1940073"""
"1752751708-24,""https://sn.coinafrique.com/categorie/chiens?page=10"",""400 000CFA"",""Chien"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-1940062"""
"1752751708-25,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Labrador"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397"""
"1752751708-26,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot boxer"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386"""
"1752751708-27,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Chiens Malinois"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735"""
"1752751708-28,""https://sn.coinafrique.com/categorie/chiens?page=10"",""50 000CFA"",""Métisse chiots rottweiler"",""Mermoz-Sacré-Cœur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049"""
