web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762811-1","https://sn.coinafrique.com/categorie/moutons?page=16","125 000CFA","Mouton","Guédiawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-817625"
"1752762811-2","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Moutons","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-816772"
"1752762811-3","https://sn.coinafrique.com/categorie/moutons?page=16","450 000CFA","Mouton","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-816757"
"1752762811-4","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton de Tabaski","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-814608"
"1752762811-5","https://sn.coinafrique.com/categorie/moutons?page=16","100 000CFA","Mouton","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-813350"
"1752762811-6","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-813339"
"1752762811-7","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Mouton","Les Parcelles Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/mouton-812873"
"1752762811-8","https://sn.coinafrique.com/categorie/moutons?page=16","500 000CFA","Moutons","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-811661"
"1752762811-9","https://sn.coinafrique.com/categorie/moutons?page=16","700 000CFA","Moutons","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-811659"
"1752762811-10","https://sn.coinafrique.com/categorie/moutons?page=16","200 000CFA","Moutons","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-811594"
"1752762811-11","https://sn.coinafrique.com/categorie/moutons?page=16","650 000CFA","Moutons","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-808861"
"1752762811-12","https://sn.coinafrique.com/categorie/moutons?page=16","700 000CFA","Moutons","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/moutons/moutons-808847"
