web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762973-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","50 000CFA","Couple pigeons cravatés français","Cambérène, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeons-cravates-francais-1112720"
"1752762973-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Pigeon links","Diourbel, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-links-1091921"
"1752762973-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","35 000CFA","Lapin géant des Flandres","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-des-flandres-1072763"
"1752762973-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","75 000CFA","Perroquet","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/perroquet-1040990"
"1752762973-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","45 000CFA","Lapin géant","Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-1023073"
"1752762973-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Lapin angora californien","Mermoz-Sacré-Cœur, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-angora-californien-1014679"
"1752762973-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006424"
"1752762973-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","25 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006413"
"1752762973-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","20 000CFA","Pigeon voyageur","Grand Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-voyageur-1006407"
"1752762973-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Bleus d'hollande","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleus-dhollande-1006380"
"1752762973-11","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","35 000CFA","Brahmane poules","Hann Bel-Air, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/brahmane-poules-1006369"
"1752762973-12","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","11 000CFA","Lapins angora californien","Médina, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-californien-993655"
"1752762973-13","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","Poules","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poules-977534"
"1752762973-14","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Paons Pigeons","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paons-pigeons-968953"
"1752762973-15","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poulet - Pigeon  - Lapin","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-pigeon-lapin-944363"
"1752762973-16","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","Bouldolande","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bouldolande-944280"
"1752762973-17","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","8 000CFA","Poussins Bantam","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussins-bantam-912493"
"1752762973-18","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Poulet de chair","Pikine, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-908730"
"1752762973-19","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","30 000CFA","Femelle Cochin bleu","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-899496"
"1752762973-20","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Barahmane","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/barahmane-899487"
